"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"73","ACO2","ProAla_vs_Ctrl",-0.0825353265804646,0.0259391705417064,-3.18187994669143,15,0.00618921279089291,0.0772177976768544,NA,0.0604575163398693,0.0604575163398693
"74","ACO2","ProSer_vs_Ctrl",-0.330909174417603,0.0259391705417064,-12.757122433254,15,1.86508364308224e-09,1.23962390305706e-07,NA,0.0669934640522876,0.0669934640522876
"75","ACO2","ArgSer_vs_Ctrl",-0.0925195296699334,0.0259391705417064,-3.56678828728064,15,0.00281074522869362,0.0339374123392905,NA,0.0620915032679739,0.0620915032679739
"76","ACP1","ProAla_vs_Ctrl",0.115505055940607,0.061814876694529,1.86856404343244,15,0.08133974450568,0.342192894816046,NA,0.208333333333333,0.208333333333333
"77","ACP1","ProSer_vs_Ctrl",0.0418467603921234,0.061814876694529,0.676969083007604,15,0.50873190078303,0.64258721621925,NA,0.145833333333333,0.145833333333333
"78","ACP1","ArgSer_vs_Ctrl",0.0411407480479037,0.061814876694529,0.665547684438638,15,0.515804764621779,0.757894271328795,NA,0.145833333333333,0.145833333333333
"79","ACS1","ProAla_vs_Ctrl",0.0784884705426873,0.249642943563723,0.314402920516167,5,0.765910757000114,0.9137452896566,NA,0.416666666666667,0
"80","ACS1","ProSer_vs_Ctrl",-0.312623439773558,0.200043304298511,-1.56277882366435,5,0.178866204858108,0.303512988394611,NA,0.583333333333333,0
"81","ACS1","ArgSer_vs_Ctrl",-0.014026809697554,0.22791682915171,-0.0615435452913273,5,0.953310679794424,0.979353279068853,NA,0.333333333333333,0
"82","ACS2","ProAla_vs_Ctrl",-0.107893440217789,0.0449392584094169,-2.40087273436582,15,0.029774095966745,0.201745167498806,NA,0.0988700564971752,0.0988700564971751
"83","ACS2","ProSer_vs_Ctrl",-0.103092174096351,0.0449392584094169,-2.29403371896205,15,0.0366442840082302,0.0915913009718422,NA,0.0861581920903954,0.0861581920903955
"84","ACS2","ArgSer_vs_Ctrl",-0.0813230118893055,0.0449392584094169,-1.80962069174387,15,0.0904348379165247,0.308712045874542,NA,0.0861581920903954,0.0861581920903955
"85","ACT1","ProAla_vs_Ctrl",0.0101187504478162,0.0446075517091776,0.226839404094315,15,0.823611046661292,0.936390958547409,NA,0.0617283950617284,0.0617283950617284
"86","ACT1","ProSer_vs_Ctrl",0.0572161099943713,0.0446075517091776,1.28265524114384,15,0.219079850592848,0.354401054714909,NA,0.0524691358024691,0.0524691358024691
"87","ACT1","ArgSer_vs_Ctrl",0.0273144928710802,0.0446075517091776,0.612328895545739,15,0.549490777957627,0.77683447646989,NA,0.0462962962962963,0.0462962962962963
"88","ADA2","ProAla_vs_Ctrl",0.104732827683212,0.048835884847257,2.14458748952298,15,0.0487724284647073,0.265295008811487,NA,0.125,0.125
"89","ADA2","ProSer_vs_Ctrl",0.13408910619593,0.048835884847257,2.74570854230076,15,0.0150152637390955,0.0461910231973869,NA,0.104166666666667,0.104166666666667
"90","ADA2","ArgSer_vs_Ctrl",0.0540425907414886,0.048835884847257,1.10661639305843,15,0.285891754215915,0.567337104520108,NA,0.0833333333333334,0.0833333333333333
"91","ADD37","ProAla_vs_Ctrl",-0.0682207167894262,0.111280312799158,-0.613052884858014,15,0.549024590889253,0.811271464364777,NA,0.119047619047619,0.119047619047619
"92","ADD37","ProSer_vs_Ctrl",-0.0881329370149047,0.111280312799158,-0.791990378154034,15,0.440712079909765,0.582058787008872,NA,0.107142857142857,0.107142857142857
"93","ADD37","ArgSer_vs_Ctrl",-0.0502972413070542,0.111280312799158,-0.451986879276948,15,0.657745651458142,0.842344877464894,NA,0.107142857142857,0.107142857142857
"94","ADD66","ProAla_vs_Ctrl",0.0401627343460689,0.0740266651805519,0.54254415281455,15,0.595413387722639,0.834524078296888,NA,0.0666666666666667,0.0666666666666667
"95","ADD66","ProSer_vs_Ctrl",-0.00286137357650298,0.0740266651805519,-0.0386532821588553,15,0.969676579266281,0.984912565122165,NA,0.0666666666666667,0.0666666666666667
"96","ADD66","ArgSer_vs_Ctrl",0.0900502475156818,0.0740266651805519,1.21645689828183,15,0.242606678026839,0.521322770580204,NA,0.0666666666666667,0.0666666666666667
"97","ADE1","ProAla_vs_Ctrl",0.0888192969438914,0.0370330410985514,2.3983797794928,15,0.0299195190741401,0.202340649921025,NA,0.00666666666666671,0.00666666666666667
"98","ADE1","ProSer_vs_Ctrl",0.173779211260017,0.0370330410985514,4.6925449842901,15,0.000288939556916334,0.00202300559211896,NA,0.00666666666666671,0.00666666666666667
"99","ADE1","ArgSer_vs_Ctrl",-0.019341864143712,0.0370330410985514,-0.522286681567412,15,0.609098311953814,0.81524743293198,NA,0.00666666666666671,0.00666666666666667
"100","ADE12","ProAla_vs_Ctrl",-0.219107685975184,0.0381417047873866,-5.74456981397545,15,3.87613033485668e-05,0.00217617031656953,NA,0.104838709677419,0.104838709677419
